tcp.stream,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.time,tcp.len
6,192.168.1.143,50421,192.168.4.2,5056,Jan 21, 2026 14:30:04.386478000 CST,0
6,192.168.1.143,50421,192.168.4.2,5056,Jan 21, 2026 14:30:04.387677000 CST,0
0,192.168.1.143,2113,192.168.4.2,44546,Jan 21, 2026 14:30:04.553184000 CST,244
7,192.168.1.143,50422,192.168.4.2,5056,Jan 21, 2026 14:30:04.579019000 CST,0
7,192.168.4.2,5056,192.168.1.143,50422,Jan 21, 2026 14:30:04.579130000 CST,0
0,192.168.4.2,44546,192.168.1.143,2113,Jan 21, 2026 14:30:04.609189000 CST,0
7,192.168.1.143,50422,192.168.4.2,5056,Jan 21, 2026 14:30:04.676233000 CST,0
7,192.168.4.2,5056,192.168.1.143,50422,Jan 21, 2026 14:30:04.676552000 CST,524
0,192.168.1.143,2113,192.168.4.2,44546,Jan 21, 2026 14:30:04.708104000 CST,1370
0,192.168.4.2,44546,192.168.1.143,2113,Jan 21, 2026 14:30:04.760971000 CST,0
7,192.168.1.143,50422,192.168.4.2,5056,Jan 21, 2026 14:30:04.774818000 CST,16
7,192.168.4.2,5056,192.168.1.143,50422,Jan 21, 2026 14:30:04.775127000 CST,0
7,192.168.1.143,50422,192.168.4.2,5056,Jan 21, 2026 14:30:04.775610000 CST,0
7,192.168.4.2,5056,192.168.1.143,50422,Jan 21, 2026 14:30:04.775668000 CST,0
7,192.168.1.143,50422,192.168.4.2,5056,Jan 21, 2026 14:30:04.872153000 CST,0
7,192.168.1.143,50422,192.168.4.2,5056,Jan 21, 2026 14:30:04.872153000 CST,0
7,192.168.1.143,50422,192.168.4.2,5056,Jan 21, 2026 14:30:04.878490000 CST,0
8,192.168.1.143,50423,192.168.4.2,5056,Jan 21, 2026 14:30:05.111928000 CST,0
8,192.168.4.2,5056,192.168.1.143,50423,Jan 21, 2026 14:30:05.112064000 CST,0
8,192.168.1.143,50423,192.168.4.2,5056,Jan 21, 2026 14:30:05.209690000 CST,0
8,192.168.4.2,5056,192.168.1.143,50423,Jan 21, 2026 14:30:05.210155000 CST,524
8,192.168.1.143,50423,192.168.4.2,5056,Jan 21, 2026 14:30:05.313622000 CST,16
8,192.168.4.2,5056,192.168.1.143,50423,Jan 21, 2026 14:30:05.313947000 CST,0
8,192.168.1.143,50423,192.168.4.2,5056,Jan 21, 2026 14:30:05.318936000 CST,0
8,192.168.4.2,5056,192.168.1.143,50423,Jan 21, 2026 14:30:05.319017000 CST,0
8,192.168.1.143,50423,192.168.4.2,5056,Jan 21, 2026 14:30:05.412628000 CST,0
8,192.168.1.143,50423,192.168.4.2,5056,Jan 21, 2026 14:30:05.412628000 CST,0
8,192.168.1.143,50423,192.168.4.2,5056,Jan 21, 2026 14:30:05.418305000 CST,0
9,192.168.1.143,50424,192.168.4.2,5056,Jan 21, 2026 14:30:05.613743000 CST,0
9,192.168.4.2,5056,192.168.1.143,50424,Jan 21, 2026 14:30:05.613952000 CST,0
9,192.168.1.143,50424,192.168.4.2,5056,Jan 21, 2026 14:30:05.713249000 CST,0
