tcp.stream,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.time,tcp.len
6,192.168.1.143,50451,192.168.4.2,5056,Jan 21, 2026 14:49:38.035931000 CST,0
6,192.168.1.143,50451,192.168.4.2,5056,Jan 21, 2026 14:49:38.041696000 CST,0
7,192.168.1.143,50452,192.168.4.2,5056,Jan 21, 2026 14:49:38.254700000 CST,0
7,192.168.4.2,5056,192.168.1.143,50452,Jan 21, 2026 14:49:38.254791000 CST,0
7,192.168.1.143,50452,192.168.4.2,5056,Jan 21, 2026 14:49:38.351287000 CST,0
7,192.168.4.2,5056,192.168.1.143,50452,Jan 21, 2026 14:49:38.351705000 CST,524
7,192.168.1.143,50452,192.168.4.2,5056,Jan 21, 2026 14:49:38.450373000 CST,16
7,192.168.4.2,5056,192.168.1.143,50452,Jan 21, 2026 14:49:38.450517000 CST,0
7,192.168.1.143,50452,192.168.4.2,5056,Jan 21, 2026 14:49:38.456181000 CST,0
7,192.168.4.2,5056,192.168.1.143,50452,Jan 21, 2026 14:49:38.456211000 CST,0
0,192.168.1.143,2113,192.168.4.2,44553,Jan 21, 2026 14:49:38.543844000 CST,244
7,192.168.1.143,50452,192.168.4.2,5056,Jan 21, 2026 14:49:38.549438000 CST,0
7,192.168.1.143,50452,192.168.4.2,5056,Jan 21, 2026 14:49:38.549438000 CST,0
7,192.168.1.143,50452,192.168.4.2,5056,Jan 21, 2026 14:49:38.555499000 CST,0
0,192.168.4.2,44553,192.168.1.143,2113,Jan 21, 2026 14:49:38.590322000 CST,0
0,192.168.1.143,2113,192.168.4.2,44553,Jan 21, 2026 14:49:38.689545000 CST,1370
0,192.168.4.2,44553,192.168.1.143,2113,Jan 21, 2026 14:49:38.739500000 CST,0
8,192.168.1.143,50453,192.168.4.2,5056,Jan 21, 2026 14:49:38.774486000 CST,0
8,192.168.4.2,5056,192.168.1.143,50453,Jan 21, 2026 14:49:38.774574000 CST,0
8,192.168.1.143,50453,192.168.4.2,5056,Jan 21, 2026 14:49:38.872301000 CST,0
8,192.168.4.2,5056,192.168.1.143,50453,Jan 21, 2026 14:49:38.872827000 CST,524
8,192.168.1.143,50453,192.168.4.2,5056,Jan 21, 2026 14:49:38.971342000 CST,16
8,192.168.4.2,5056,192.168.1.143,50453,Jan 21, 2026 14:49:38.971518000 CST,0
8,192.168.1.143,50453,192.168.4.2,5056,Jan 21, 2026 14:49:38.977083000 CST,0
8,192.168.4.2,5056,192.168.1.143,50453,Jan 21, 2026 14:49:38.977115000 CST,0
0,192.168.4.2,44553,192.168.1.143,2113,Jan 21, 2026 14:49:39.023884000 CST,5
8,192.168.1.143,50453,192.168.4.2,5056,Jan 21, 2026 14:49:39.069000000 CST,0
8,192.168.1.143,50453,192.168.4.2,5056,Jan 21, 2026 14:49:39.075032000 CST,0
8,192.168.1.143,50453,192.168.4.2,5056,Jan 21, 2026 14:49:39.075032000 CST,0
0,192.168.1.143,2113,192.168.4.2,44553,Jan 21, 2026 14:49:39.251105000 CST,0
9,192.168.1.143,50454,192.168.4.2,5056,Jan 21, 2026 14:49:39.280602000 CST,0
9,192.168.4.2,5056,192.168.1.143,50454,Jan 21, 2026 14:49:39.280702000 CST,0
9,192.168.1.143,50454,192.168.4.2,5056,Jan 21, 2026 14:49:39.379484000 CST,0
9,192.168.4.2,5056,192.168.1.143,50454,Jan 21, 2026 14:49:39.380318000 CST,524
9,192.168.1.143,50454,192.168.4.2,5056,Jan 21, 2026 14:49:39.479018000 CST,16
9,192.168.4.2,5056,192.168.1.143,50454,Jan 21, 2026 14:49:39.479216000 CST,0
9,192.168.1.143,50454,192.168.4.2,5056,Jan 21, 2026 14:49:39.484920000 CST,0
9,192.168.4.2,5056,192.168.1.143,50454,Jan 21, 2026 14:49:39.484959000 CST,0
9,192.168.1.143,50454,192.168.4.2,5056,Jan 21, 2026 14:49:39.576803000 CST,0
9,192.168.1.143,50454,192.168.4.2,5056,Jan 21, 2026 14:49:39.582549000 CST,0
9,192.168.1.143,50454,192.168.4.2,5056,Jan 21, 2026 14:49:39.588485000 CST,0
10,192.168.1.143,50455,192.168.4.2,5056,Jan 21, 2026 14:49:39.794872000 CST,0
10,192.168.4.2,5056,192.168.1.143,50455,Jan 21, 2026 14:49:39.794958000 CST,0
10,192.168.1.143,50455,192.168.4.2,5056,Jan 21, 2026 14:49:39.895694000 CST,0
10,192.168.4.2,5056,192.168.1.143,50455,Jan 21, 2026 14:49:39.896502000 CST,524
10,192.168.1.143,50455,192.168.4.2,5056,Jan 21, 2026 14:49:39.995723000 CST,16
10,192.168.4.2,5056,192.168.1.143,50455,Jan 21, 2026 14:49:39.996049000 CST,0
10,192.168.1.143,50455,192.168.4.2,5056,Jan 21, 2026 14:49:40.001998000 CST,0
10,192.168.4.2,5056,192.168.1.143,50455,Jan 21, 2026 14:49:40.002040000 CST,0
10,192.168.1.143,50455,192.168.4.2,5056,Jan 21, 2026 14:49:40.099554000 CST,0
