tcp.stream,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.time,tcp.len
24,192.168.1.143,50328,192.168.4.2,5056,Jan 20, 2026 15:48:37.423680000 CST,0
25,192.168.1.143,50329,192.168.4.2,5056,Jan 20, 2026 15:48:37.652104000 CST,0
25,192.168.4.2,5056,192.168.1.143,50329,Jan 20, 2026 15:48:37.652285000 CST,0
25,192.168.1.143,50329,192.168.4.2,5056,Jan 20, 2026 15:48:37.750466000 CST,0
25,192.168.4.2,5056,192.168.1.143,50329,Jan 20, 2026 15:48:37.750789000 CST,524
25,192.168.1.143,50329,192.168.4.2,5056,Jan 20, 2026 15:48:37.850207000 CST,16
25,192.168.1.143,50329,192.168.4.2,5056,Jan 20, 2026 15:48:37.850207000 CST,0
25,192.168.4.2,5056,192.168.1.143,50329,Jan 20, 2026 15:48:37.850315000 CST,0
25,192.168.4.2,5056,192.168.1.143,50329,Jan 20, 2026 15:48:37.850450000 CST,0
25,192.168.1.143,50329,192.168.4.2,5056,Jan 20, 2026 15:48:37.951242000 CST,0
26,192.168.1.143,50330,192.168.4.2,5056,Jan 20, 2026 15:48:38.147385000 CST,0
26,192.168.4.2,5056,192.168.1.143,50330,Jan 20, 2026 15:48:38.147671000 CST,0
26,192.168.1.143,50330,192.168.4.2,5056,Jan 20, 2026 15:48:38.244872000 CST,0
26,192.168.4.2,5056,192.168.1.143,50330,Jan 20, 2026 15:48:38.245512000 CST,524
26,192.168.1.143,50330,192.168.4.2,5056,Jan 20, 2026 15:48:38.344358000 CST,16
26,192.168.4.2,5056,192.168.1.143,50330,Jan 20, 2026 15:48:38.344583000 CST,0
26,192.168.1.143,50330,192.168.4.2,5056,Jan 20, 2026 15:48:38.349706000 CST,0
26,192.168.4.2,5056,192.168.1.143,50330,Jan 20, 2026 15:48:38.349781000 CST,0
26,192.168.1.143,50330,192.168.4.2,5056,Jan 20, 2026 15:48:38.445506000 CST,0
26,192.168.1.143,50330,192.168.4.2,5056,Jan 20, 2026 15:48:38.450464000 CST,0
26,192.168.1.143,50330,192.168.4.2,5056,Jan 20, 2026 15:48:38.450464000 CST,0
27,192.168.1.143,50331,192.168.4.2,5056,Jan 20, 2026 15:48:38.681759000 CST,0
27,192.168.4.2,5056,192.168.1.143,50331,Jan 20, 2026 15:48:38.682023000 CST,0
27,192.168.1.143,50331,192.168.4.2,5056,Jan 20, 2026 15:48:38.780545000 CST,0
27,192.168.4.2,5056,192.168.1.143,50331,Jan 20, 2026 15:48:38.780908000 CST,524
27,192.168.1.143,50331,192.168.4.2,5056,Jan 20, 2026 15:48:38.878480000 CST,16
27,192.168.4.2,5056,192.168.1.143,50331,Jan 20, 2026 15:48:38.878815000 CST,0
27,192.168.1.143,50331,192.168.4.2,5056,Jan 20, 2026 15:48:38.883378000 CST,0
